what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_22",1299524312868
java.vm.info,sysinfo,,,"mixed mode",1299524312868
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1299524312868
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1299524312868
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1299524312868
java.vm.specification.version,sysinfo,,,"1.0",1299524312868
java.vm.vendor,sysinfo,,,"Apple Inc.",1299524312868
java.vm.version,sysinfo,,,"17.1-b03-307",1299524312868
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1299524313066
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1299524313165
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1299524313370
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1299524313723
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1299524313795
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1299524315542
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1299524315588
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1299524317534
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1299524318385
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1299524318479
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299524393291
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1299524393296
